Category,,Topic,,VideoId,Video,Popularity,AI Quotient,Description
Machine Learning Basics,,Machine Learning,,p3bkw9Cq9VU,https://www.youtube.com/embed/p3bkw9Cq9VU,Low,Low,Prof.Albert explains to Granny the meaning of the term 'Machine Learning'
Machine Learning Basics,,Slope,,R948Tsyq4vA,https://www.youtube.com/watch?v=R948Tsyq4vA,Low,Low,Prof.Albert explains to Granny the concept of slope of a line
Machine Learning Basics,,Gradient Descent,,nJfUZBrl8Ms,https://www.youtube.com/embed/nJfUZBrl8Ms,Medium,Low,Prof.Albert explains to Granny the concept of 'Gradient Descent' and how it helps in minimizing the cost function.
Machine Learning Basics,,Cost Function,,pkLKbpmAgRA,https://www.youtube.com/embed/pkLKbpmAgRA,Medium,Low,Prof.Albert explains to Granny the concept of a 'Cost Function' and it is usage in the Machine Learning world
Machine Learning Basics,,Differentiation,,sphqpQQL8aw,https://www.youtube.com/embed/sphqpQQL8aw,Low,High,Prof.Albert explains to our Granny the concept of 'Differentiation' and how it is used to calculate the gradients for the cost function
Machine Learning Basics,,Model,,FqMqs0iIOfE,https://www.youtube.com/watch?v=FqMqs0iIOfE,Low,Low,Prof.Albert explains the difference between a model and an algorithm to our Granny
Linear Regression,,Linear Regression Overview,,l1A8p8RVOH8,https://www.youtube.com/watch?v=l1A8p8RVOH8,Medium,Low,Prof.Albert explains to Granny how linear regression equation can be used to predict house prices
Linear Regression,,R2,,2AQKmw14mHM,https://www.youtube.com/watch?v=2AQKmw14mHM,Low,Medium,A Statquest for R Squared that explains the best fit line found by a Linear Regression Algorithm.
Linear Regression,,RMSE,,0HLw76OVJ94,https://www.youtube.com/watch?v=0HLw76OVJ94,High,Low,"While root means square error and accuracy rate are the two most popular metrics used in evaluating model performance in cross validation, there are limitations of using these when the performance is more important for the researcher in one section of the data than the other"
Logistic Regression,,Logistic Regression overview,,ckkiG-SDuV8,https://www.youtube.com/embed/ckkiG-SDuV8,Medium,Low,"We review / introduce the concepts of basic probability, odds, and the odds ratio and then apply them to a quick logistic regression example. Understanding these concepts is crucial to knowing what logistic regression does and the ability to interpret computer output after running logistic regression."
Logistic Regression,,Odds Ratio,,8nm0G-1uJzA,https://www.youtube.com/watch?v=8nm0G-1uJzA,High,Medium,"Odds Ratios and Log(Odds Ratios) are like R-Squared - they describe a relationship between two things. And just like R-Squared, you need to determine if this relationship is statistically significant."
